Song_title,Artist,genre,release_date,topic,len
babylon queendom,peter tosh,reggae,1977,sadness,134
notorious,adelitas way,rock,2017,violence,31
"40,000 headmen",traffic,blues,2010,violence,73
counting every blessing,rend collective,rock,2018,world/life,42
3x5,john mayer,pop,2001,world/life,58
early every morning,b.b. king,blues,1957,world/life,33
herbivore,shrub,reggae,2013,obscene,91
the carnival is over,the seekers,pop,1989,romantic,54
i like to live the love,b.b. king,blues,1973,music,74
thank you,keith urban,country,2009,world/life,104
midlife crisis,faith no more,rock,1992,violence,59
sufficiently breathless,captain beyond,blues,1973,world/life,111
where you gonna run,peter tosh,reggae,1983,sadness,32
try,marshall crenshaw,country,1983,sadness,26
god bless america,leann rimes,country,2001,music,34
bird song,jerry garcia,country,1972,music,39
is it over,ronnie milsap,country,1983,world/life,30
homemade dynamite,lorde,pop,2017,obscene,137
six days,dj shadow,jazz,2002,night/time,54
when a man loves a woman,karen dalton,pop,1971,romantic,46
bad bitch (feat. ty dolla $ign),bebe rexha,pop,2017,obscene,127
high school,mc5,blues,1970,obscene,94
"aw shucks, hush your mouth",jimmy reed,blues,2003,violence,39
spain,chick corea,jazz,1973,world/life,82
that's us/wild combination,arthur russell,pop,2000,night/time,60
scream with me,mudvayne,rock,2009,violence,130
turn back the pages,stephen stills,blues,1975,world/life,87
the roof,mariah carey,pop,1997,night/time,163
living it up,damian marley,reggae,2017,world/life,197
"anna lee, the healer",the beach boys,pop,1968,violence,47
tear away,drowning pool,rock,2001,sadness,40
livin' easy (feat. stick figure),kbong,reggae,2014,obscene,190
you are a no good,michael prophet,reggae,2009,feelings,56
tell me that you love me,eric clapton,blues,1978,sadness,42
lupine ossuary,thee oh sees,blues,2015,violence,9
call you out,flyleaf,rock,2012,violence,31
tornadoes,drive-by truckers,country,2004,music,73
you'll never walk alone,the flamingos,blues,1960,violence,89
rock-a-bye your baby with a dixie melody,dean martin,jazz,1951,music,44
change,tears for fears,pop,1983,world/life,60
love me or leave me,billie holiday,blues,1956,night/time,34
i should be proud,martha reeves & the vandellas,pop,1970,violence,85
the hucklebuck,chubby checker,pop,1962,obscene,70
the big come down,nine inch nails,rock,1999,sadness,37
the acid queen,the who,rock,1969,sadness,62
swinging on a star,dion & the belmonts,pop,1960,obscene,71
dengue woman blues,jimmie vaughan,blues,1996,sadness,32
somebody's been sleepin' in my bed,foghat,blues,1979,feelings,68
circles,jj grey & mofro,blues,2007,sadness,63
please mr. please,olivia newton-john,pop,1995,music,69
long may you run,emmylou harris,country,1982,world/life,29
spring affair,donna summer,pop,1976,music,105
without a face,rage against the machine,rock,1996,violence,158
where do i put her memory,charley pride,country,2006,sadness,54
my love paramour,cocteau twins,pop,1983,sadness,46
please help me i'm falling (in love with you),dolly parton,country,1993,sadness,36
today i started loving you again,emmylou harris,country,1986,sadness,31
down to the line,bachman-turner overdrive,country,1975,night/time,70
منك بخاف,rania,pop,1959,violence,93
higher place,journey,rock,2001,sadness,52
"blue days, black nights",buddy holly,pop,1958,music,36
love me or leave me,chet baker,jazz,1953,night/time,26
nice work if you can get it (take 3),thelonious monk,jazz,1964,obscene,176
love,imagine dragons,rock,2018,violence,41
the arrow killed the beast,heartless bastards,blues,2012,violence,58
commit a crime,howlin' wolf,blues,1991,violence,37
did you ever love a woman,b.b. king,blues,1957,romantic,61
celebrate,three dog night,pop,1969,music,124
drown,bring me the horizon,rock,2015,violence,39
forbes,g-eazy,pop,2015,obscene,100
happy heart,andy williams,pop,1970,music,46
dark days,local natives,pop,2016,violence,54
bell bottom blues,eric clapton,blues,1973,sadness,47
train in vain,dwight yoakam,country,1997,violence,47
ac-cent-tchu-ate the positive,ella fitzgerald,blues,1961,obscene,76
run to her,little eva,pop,1962,romantic,32
ain't got time to waste,aim,jazz,1999,obscene,175
teen age goodnight,the chordettes,pop,1957,romantic,39
after loving you,jim reeves,country,1963,world/life,23
drama queen (that girl),lindsay lohan,pop,2004,world/life,130
hear you me,jimmy eat world,pop,2001,world/life,22
3 peat,lil wayne,pop,2008,obscene,161
dai the flu,deftones,rock,1997,night/time,87
king of fools,will downing,jazz,2003,sadness,49
building a mystery,sarah mclachlan,pop,1997,violence,95
in the real world,roy orbison,pop,1989,world/life,64
words i couldn't say,rascal flatts,country,2006,violence,73
this could be us,rae sremmurd,pop,2015,obscene,190
one day in st. tropez,michael franks,jazz,2011,music,9
no more disguise (feat. lou lou ghelichkhani),thievery corporation,jazz,2014,sadness,37
we fall in love,lamb,jazz,2014,sadness,57
why did you hoodoo me,savoy brown,blues,2017,sadness,50
show me (feat. chris brown),kid ink,pop,2014,obscene,24
do it for me now,angels & airwaves,pop,2006,romantic,117
san antonio rose,carl smith,country,1957,sadness,43
hideaway,tessanne chin,reggae,2010,sadness,83
swanee,judy garland,jazz,1954,music,62
nare sugar,jj grey & mofro,blues,2001,obscene,31
anything to say you're mine,etta james,blues,1960,sadness,32
throw away your gun,roots radics,reggae,1991,sadness,145
lover man (oh where can you be),blossom dearie,jazz,1957,romantic,50
stuck like glue,sugarland,pop,2010,obscene,121
nine is god,wavves,rock,2013,violence,56
feelin good,joe bonamassa,blues,2009,feelings,64
pop,*nsync,pop,2001,obscene,130
take the picture off,rjd2,jazz,2002,obscene,5
to & fros,blackbird hill,blues,2018,night/time,36
fox on the run,sweet,pop,1974,violence,53
alive,korn,rock,2003,sadness,121
you would do the same for me,ricky van shelton,country,1990,world/life,24
local memory,willie nelson,country,1973,sadness,64
linoleum,nofx,pop,1994,violence,49
nobody does it better,warren g,pop,1998,obscene,132
under my thumb,social distortion,pop,1996,world/life,43
postmortem,slayer,rock,1986,violence,96
"insane, insane again",the j. geils band,country,1981,violence,153
time on my hands,don williams,country,1977,world/life,35
my girlfriend,uncle kracker,country,2009,obscene,84
relax your mind,loon,hip hop,2018,obscene,96
unsung,helmet,rock,1992,sadness,31
phantom of the opera,iron maiden,rock,1980,sadness,63
shake it and break it (but don't let it fall mama),charley patton,blues,1990,sadness,163
son of slide,slave,jazz,1977,obscene,108
antichrist superstar,marilyn manson,rock,1996,violence,73
lover please,kris kristofferson,country,1974,romantic,29
armageddon,prince far i,reggae,1990,violence,163
fly me to the moon,astrud gilberto,jazz,1965,music,37
the seventh seal,groundation,reggae,2004,violence,93
soon,ella fitzgerald,blues,1950,music,51
distant lonesome train,joe bonamassa,blues,2016,music,52
"oh, true love",the everly brothers,pop,1960,romantic,38
the great american success story,alice cooper,blues,1986,obscene,79
big eyed fish,dave matthews band,pop,2002,world/life,68
lonely weekends,waylon jennings,country,1969,night/time,39
wildest dreams,dolly parton,country,1991,world/life,55
i held her in my arms,violent femmes,pop,1986,romantic,73
the edge of forever,the dream academy,pop,1985,sadness,84
that's alright,muddy waters,blues,1978,romantic,70
i take a lot of pride in what i am,merle haggard,country,1969,world/life,60
goodbye,steve earle,country,1995,romantic,34
separate lives,stephen bishop,country,1994,violence,57
somethin to dü,the replacements,country,1981,obscene,51
"or nah (feat. the weeknd, wiz khalifa & dj mustard)",ty dolla $ign,pop,2014,violence,65
descending,the black crowes,blues,1994,sadness,66
my greatest fear,randy travis,country,1998,world/life,41
don't tread on me,damn yankees,rock,1992,sadness,65
three rounds and a sound,blind pilot,pop,2011,violence,127
away rio,the kingston trio,rock,1962,sadness,57
i could fall in love,selena,pop,1995,sadness,61
evil ways,graveyard,blues,2007,violence,54
(you make me feel like) a natural woman,céline dion,pop,1996,feelings,77
only,sublime with rome,reggae,2011,violence,41
maniac,kid cudi,pop,2010,violence,112
good mornin' life,dean martin,jazz,1958,world/life,80
the struggle discontinues,damian marley,reggae,2017,music,130
wild life,wings,pop,1971,world/life,130
so aware,john brown's body,reggae,2008,sadness,74
give me the right,elvis presley,rock,1961,night/time,24
you can't roller skate in a buffalo herd,roger miller,country,1991,night/time,91
whenever you come around,vince gill,country,1994,violence,75
sweet emotion,the kooks,rock,2014,romantic,43
wait and see,iration,rock,2008,music,64
too good a memory,mark chesnutt,country,1990,sadness,80
go on home,willie nelson,country,1966,music,31
as the world falls down,david bowie,rock,1986,sadness,89
i need more time,the meters,jazz,1995,world/life,30
better now,collective soul,rock,2004,world/life,37
close to it all,melanie,pop,1968,sadness,62
downtown tonight,tyler bryant & the shakedown,blues,2013,night/time,77
money,easy star all-stars,reggae,2003,obscene,180
yours and mine,kyle park,country,2005,world/life,46
anarchist,yungblud,rock,2018,obscene,37
primitive,the cramps,blues,1981,world/life,32
blood and roses,the smithereens,pop,1986,violence,56
it's impossible,perry como,pop,1975,world/life,43
you were only fooling (while i was falling in love),patsy cline,country,1962,sadness,13
child in time,deep purple,blues,1970,violence,60
lion in the jungle,julian marley,reggae,1995,feelings,93
secret messages,electric light orchestra,pop,1983,music,84
the old rugged cross,ray price,country,1960,world/life,35
if you ain't lovin' (you ain't livin'),faron young,country,2000,obscene,51
don't turn around,ace of base,pop,1993,sadness,159
everyday thugs,bone thugs-n-harmony,hip hop,2014,obscene,69
i wanna be,hirie,reggae,2015,sadness,107
high shelf booze,eilen jewell,country,2007,music,70
unicorn,bob james,jazz,1981,obscene,187
self-inflicted wounds,joe bonamassa,blues,2018,sadness,70
changes,j.j. cale,blues,1972,world/life,10
swamp witch,jim stafford,pop,1974,violence,129
straighten up and fly right,nat king cole,jazz,1991,night/time,84
this joint,slightly stoopid,reggae,2005,obscene,131
why can't i love you,hiroshima,jazz,1987,sadness,36
walk in the night,jr. walker & the all stars,pop,1971,night/time,12
bess you is my woman now,ella fitzgerald,blues,1958,night/time,81
blood brothers,luke bryan,country,2013,violence,96
birks' works,ray vega,jazz,1984,violence,169
glory,jamie n commons,blues,2016,music,54
all the world,kansas,pop,1975,world/life,115
stones,neil diamond,pop,1974,violence,27
i remember me,silver jews,country,2001,world/life,101
the bells,laura nyro,pop,1971,music,44
young,hollywood undead,pop,2008,sadness,156
true,spandau ballet,pop,1983,romantic,119
face the fire,dan fogelberg,country,1979,violence,59
ænema,tool,rock,1996,obscene,55
loving you is sweeter than ever,susan tedeschi,blues,2005,world/life,103
my maker,heartless bastards,blues,2004,world/life,48
blackout,muse,rock,2004,world/life,14
everything is fair,a tribe called quest,pop,1991,obscene,186
(how will i know) i'm falling in love again,willie nelson,country,1974,sadness,9
heart of the night,poco,pop,1978,sadness,83
"are you lonely for me, baby",al green,blues,1971,sadness,101
wicked,future,pop,2016,obscene,186
blah blah blah (feat. 3oh!3),kesha,pop,2010,music,174
reptile,nine inch nails,rock,1994,violence,57
ron's place,brad mehldau,jazz,1997,violence,190
lovin' me along,head east,country,1975,night/time,27
i want my dog to live longer (the greatest wish),curtis salgado,blues,2018,world/life,100
i stand alone,al kooper,blues,1964,world/life,30
come together in the morning,free,blues,1973,world/life,42
every little bit hurts,aretha franklin,blues,1964,sadness,58
devils got you beat,blues saraceno,blues,2019,violence,94
it's my life,talk talk,pop,1984,world/life,19
i've been there,irma thomas,blues,1964,obscene,185
glad to be unhappy,ella fitzgerald,blues,2018,violence,78
dream a little dream of me,ella fitzgerald,blues,1957,romantic,71
when they ring the golden bell,sister rosetta tharpe,blues,1956,music,62
rubber ball,bobby vee,pop,1961,obscene,133
crying,don mclean,rock,1988,sadness,44
resurrection blues,otis taylor,country,2001,sadness,79
i'm down to my last cigarette,k.d. lang,pop,1988,sadness,31
(wish i had a) heart of stone,baillie & the boys,country,1988,sadness,60
drop,timbaland & magoo,hip hop,2015,obscene,94
never give up my pride,luciano,reggae,1996,world/life,91
freek'n you,jodeci,pop,1995,night/time,130
carouselambra,led zeppelin,rock,1979,violence,126
silent night,bing crosby,jazz,1962,night/time,40
comanche moon,the black angels,blues,2017,violence,46
sweat,popa chubby,blues,1995,violence,126
rules,pennywise,pop,1991,world/life,44
always on my mind,pet shop boys,pop,2003,night/time,63
without you (feat. sandro cavazza),avicii,pop,2017,obscene,149
love is missing from our lives,the dells,blues,1974,obscene,131
creole,charlie hunter,jazz,2001,obscene,155
it ain't right,john mayall & the bluesbreakers,blues,1966,night/time,36
till the day i die,whitesnake,blues,1981,romantic,61
burning heart,vandenberg,rock,1982,sadness,54
a woman is a sometime thing,ella fitzgerald,blues,1958,romantic,48
the sky's the limit,the duprees,blues,2010,night/time,52
yesterday,bad religion,pop,1982,world/life,52
tell me why,the beatles,rock,1964,sadness,42
when i opened up my eyes,wayman tisdale,jazz,2001,sadness,61
sirens of titan,al stewart,pop,1975,violence,68
but not for me,sun ra,jazz,1960,sadness,45
so cold in the summer,taylor mcferrin,jazz,2019,romantic,47
silver wings,merle haggard,country,1969,sadness,24
raise hell,(hed) p.e.,rock,2005,obscene,173
latin quarter,marc antoine,jazz,1995,world/life,46
to be alone with you,bob dylan,pop,1969,romantic,34
monkey see-monkey do,michael franks,jazz,1976,obscene,76
a bible and a bus ticket home,collin raye,country,1993,music,68
every you every me,placebo,rock,1998,world/life,33
quicksand,david bowie,rock,1971,violence,94
marcus say jah no dead,burning spear,reggae,1996,violence,59
preaching the blues,the gun club,blues,1981,music,76
"workin' hard, playin' hard",ted nugent,blues,1977,obscene,60
victim of love,whitesnake,blues,1982,sadness,97
school of dub,jah shaka,reggae,1986,obscene,187
out from under,incubus,rock,1999,violence,61
"crying, laughing, loving, lying",labi siffre,pop,1972,sadness,18
diamonds,slim thug,hip hop,2007,obscene,143
what it means to be alone,the dear hunter,jazz,2009,violence,66
handy,wishbone ash,jazz,1970,sadness,19
blood brothers,papa roach,pop,2001,violence,40
hey yo,311,reggae,2017,sadness,60
the blackwater fever,the blackwater fever,blues,2011,sadness,45
i love you baby,black rob,hip hop,2019,obscene,190
stone cold heart,vern gosdin,country,1984,sadness,53
i pity the fool,"bobby ""blue"" bland",blues,1974,sadness,73
breaking up,alton ellis,reggae,1968,sadness,47
battery kinzie,fleet foxes,rock,2011,violence,54
second home by the sea,genesis,rock,1983,world/life,25
you are there,michael jackson,pop,1975,world/life,39
deep song,billie holiday,blues,1956,sadness,48
california king bed,rihanna,pop,2010,sadness,93
marie,yazmin lacey,jazz,2017,violence,132
born to lose,ray price,country,1965,world/life,41
gail,alice cooper,blues,1987,world/life,40
where do i go from here,robert cray,blues,1983,world/life,41
ready for the times to get better,crystal gayle,country,1976,night/time,40
if your heart ain't busy tonight,tanya tucker,country,1991,night/time,75
i might have said,ronnie milsap,country,1984,sadness,52
hand of god,jon bellion,pop,2016,world/life,62
alphabetical order,joe walsh,blues,1991,obscene,26
the healing kind,lee ann womack,country,2000,sadness,27
too many puppies,primus,rock,1990,violence,52
america,neil diamond,pop,1980,world/life,74
smoking jacket,miranda lambert,country,2016,obscene,81
i've got a quarter in my pocket,gary allan,country,1998,obscene,26
only the heart may know,dan fogelberg,country,1981,world/life,56
in love with you,the heptones,reggae,1968,world/life,33
above and beyond,don gibson,country,1961,obscene,9
bill,oscar peterson,jazz,1954,sadness,28
bread and roses,judy collins,pop,1976,world/life,58
it will be me,faith hill,country,1999,sadness,33
dancing through sunday,afi,pop,2003,sadness,106
the crowd,roy orbison,pop,1962,sadness,34
bad blood,the flying eyes,blues,2009,violence,30
politik,coldplay,pop,2002,sadness,55
ain't that a shame,champion jack dupree,blues,1961,world/life,66
the sniper,the black angels,blues,2010,violence,35
mandy,rosemary clooney,jazz,1954,music,30
diggin' my potatoes,james cotton,blues,1984,night/time,61
androgynous mind,sonic youth,blues,1994,night/time,73
what we gonna do about it,cale dodds,country,2018,obscene,141
lies,the black keys,blues,2008,violence,46
props-man style,mikey dread,reggae,1979,obscene,135
a time for love,jane monheit,jazz,2007,night/time,61
teach me tonight,diane schuur,jazz,1984,world/life,43
"part time lover, full time fool",peggy scott-adams,blues,2008,violence,72
nowhere fast,josh turner,country,2007,world/life,63
one note samba,herbie mann,jazz,2005,music,33
god only knows,glen campbell,pop,1977,world/life,24
la de la mala suerte,jesse & joy,pop,2011,violence,11
lone star state of mind,don williams,country,1992,night/time,74
i have but one heart,connie francis,pop,1959,world/life,44
maybe tonight,vince gill,country,1994,night/time,34
when a man loves a woman,bette midler,pop,1979,romantic,86
open passageways,all them witches,blues,2015,violence,31
elijah,culture,reggae,1982,obscene,196
the cowboy rides away,george strait,country,1984,sadness,56
"dim lights, thick smoke and loud loud music",glen glenn,blues,2004,sadness,44
strike up the band,ella fitzgerald,blues,1959,violence,37
friday,phish,blues,2002,violence,44
hit 'em up style (oops!),blu cantrell,pop,2003,obscene,186
there there my dear,dexys midnight runners,pop,1980,world/life,94
e.t. (extraterrestrial),outkast,pop,1996,obscene,158
talkin' 'bout love,nazareth,blues,1980,obscene,64
stuck with me,green day,pop,1995,violence,58
gravedigger,dave matthews,pop,2003,violence,80
kalabancoro,richard bona,jazz,2003,obscene,137
goin' all out,eric darius,jazz,2008,obscene,89
jimmy james,beastie boys,rock,1992,obscene,71
i'm with you,avril lavigne,pop,2002,violence,66
multiply the heartaches,george jones,country,1963,sadness,46
warm brew,leaf beach,jazz,2017,violence,8
ray gun,badbadnotgood,jazz,2015,violence,108
home,iration,reggae,2013,music,40
big five,prince buster,reggae,1972,night/time,105
from a jack to a king,david houston,country,1966,sadness,32
remember then,the earls,blues,1999,world/life,44
a thousand years ago,mike pinto,reggae,2005,world/life,91
follow the leader,the saints,blues,1982,obscene,175
she love,sensi trails,reggae,2019,obscene,158
into each life some rain must fall,ella fitzgerald,blues,1963,sadness,65
one world (not three),the police,rock,1981,world/life,56
so you want to be a cowboy,chris ledoux,country,1981,obscene,55
i know his blood can make me whole,blind willie johnson,blues,1993,violence,47
what if,creed,pop,1999,violence,71
"ready, willing and able",doris day,jazz,1954,obscene,62
somebody's been drinkin',cole swindell,country,2018,obscene,84
slide through my fingers,tame impala,rock,2008,violence,38
the crossing,ray campi,rock,1957,obscene,116
feels so good,van halen,rock,1988,feelings,72
the queen of swing,swingrowers,jazz,2013,music,68
in the evening by the moonlight,nina simone,blues,1960,music,86
the night away,night shield,hip hop,2009,sadness,90
diana,frankie lymon,pop,1958,romantic,42
no more tears,little river band,country,1983,sadness,97
ocean drive,duke dumont,pop,2015,romantic,112
give her the gun,ufo,blues,1974,obscene,56
a house without love,george jones,country,1962,world/life,41
the things we did last summer,freddie hubbard,jazz,2016,music,60
you ain't cool,whispering lion,reggae,1984,obscene,104
lay down,priestess,rock,2006,sadness,47
the good's gone,the who,rock,1965,feelings,23
masters of war,bob dylan,pop,1963,violence,104
music city usa,bobby bare,country,1972,music,92
coast of california,the kingston trio,rock,1961,violence,62
do you feel like we do,warren haynes,blues,1976,feelings,101
impossible year,panic! at the disco,pop,2016,world/life,21
i want something more,bad religion,pop,1989,world/life,39
cry lonely,chris knight,country,2006,sadness,54
only when i'm drunk,tha alkaholiks,hip hop,2019,obscene,63
seeing you this way,minnie riperton,jazz,1974,world/life,54
these are the days,van morrison,pop,1989,world/life,59
